"Topic", "Question", "Option A", "Option B", "Option C", "Option D", "Correct Answer"
"Arrays", "How is a 2D array typically stored in memory?", "A. Randomly", "B. In a tree structure", "C. Row-major or column-major order", "D. As a linked list of rows", "C"
"Arrays", "Which of the following is true about dynamic arrays?", "A. Their size is fixed at compile time.", "B. They automatically resize when capacity is exceeded.", "C. They have slower random access compared to static arrays.", "D. They use less memory than static arrays.", "B"
"Arrays", "What is 'array decomposition'?", "A. Breaking down a large array into smaller arrays.", "B. Sorting an array.", "C. Merging two arrays.", "D. Searching for an element.", "A"
"Arrays", "What does 'padding' mean in the context of arrays?", "A. Adding extra elements to the array.", "B. Aligning elements in memory for performance.", "C. Removing elements from the array.", "D. Reversing the order of elements.", "B"
"Arrays", "In an array, what does the term 'base address' refer to?", "A. The address of the last element.", "B. The address of the first element.", "C. The address of the middle element.", "D. The total memory occupied by the array.", "B"
"Arrays", "Which of the following is a common application of arrays?", "A. Implementing a hash map directly.", "B. Storing pixels in an image.", "C. Representing a network graph with nodes and edges.", "D. Building a file system hierarchy.", "B"
"Arrays", "What is the primary advantage of using a static array over a dynamic array if the size is known beforehand?", "A. Easier to implement.", "B. No overhead of resizing, potentially faster.", "C. Can store more diverse data types.", "D. Automatically sorts elements.", "B"
"Arrays", "What is 'sparse array'?", "A. An array with all elements having the same value.", "B. An array with a majority of elements being zero or null.", "C. An array that is not contiguous in memory.", "D. An array that is sorted in descending order.", "B"
"Arrays", "What is the time complexity for merging two sorted arrays into a new sorted array?", "A. O(1)", "B. O(log n)", "C. O(m + n) where m and n are lengths of arrays.", "D. O(m*n)", "C"
"Arrays", "Which property makes arrays suitable for implementing caches?", "A. Their dynamic nature.", "B. Their ability to store heterogeneous data.", "C. Fast random access.", "D. Their hierarchical structure.", "C"
"Arrays", "What is the process of accessing each element of an array exactly once called?", "A. Searching", "B. Sorting", "C. Traversal", "D. Insertion", "C"
"Arrays", "When an array is passed to a function in C/C++, how is it typically passed?", "A. By value (a copy is made)", "B. By reference (address of first element)", "C. As a new array", "D. Depends on the compiler", "B"
"Arrays", "What is the consequence of adding an element beyond the allocated capacity of a static array?", "A. The array automatically expands.", "B. It leads to a compilation error.", "C. It can lead to buffer overflow or undefined behavior.", "D. The element is simply ignored.", "C"
"Arrays", "Which sorting algorithm is an in-place sort and typically uses an array?", "A. Merge Sort (usually not in-place)", "B. Bubble Sort", "C. Heap Sort", "D. Both B and C", "D"
"Arrays", "What is the purpose of the 'sizeof' operator when applied to an array name in C?", "A. Returns the number of elements in the array.", "B. Returns the size of one element.", "C. Returns the total size of the array in bytes.", "D. Returns the address of the first element.", "C"
"Arrays", "If an array is sorted, which search algorithm is most efficient?", "A. Linear Search", "B. Binary Search", "C. Jump Search", "D. Both B and C", "D"
"Arrays", "What is the time complexity of reversing an array?", "A. O(1)", "B. O(log n)", "C. O(n)", "D. O(n^2)", "C"
"Arrays", "Which of the following statements about arrays is false?", "A. Arrays can be multi-dimensional.", "B. Elements of an array must be of the same data type.", "C. Arrays are always dynamically allocated.", "D. Array elements are stored contiguously.", "C"
"Arrays", "What is the difference between an array and a pointer in C/C++?", "A. Arrays can be indexed, pointers cannot.", "B. Arrays store data, pointers store addresses.", "C. Arrays are always static, pointers are dynamic.", "D. Arrays cannot be passed to functions, pointers can.", "B"
"Arrays", "What is the most efficient way to insert an element into a sorted array while maintaining its sorted order?", "A. Insert at the beginning.", "B. Insert at the end.", "C. Find the correct position and shift elements.", "D. Replace an existing element.", "C"
"Arrays", "What is the benefit of using an array to implement a queue instead of a linked list, in some scenarios?", "A. Simpler implementation for dynamic resizing.", "B. Faster enqueue/dequeue operations (if not dealing with resizing).", "C. Better memory locality.", "D. Both B and C.", "D"
"Arrays", "What is the output of `sizeof(arr)` for `int arr[] = {1, 2, 3};` in C on a system where int is 4 bytes?", "A. 3", "B. 4", "C. 12", "D. Undefined", "C"
"Arrays", "What is an 'associative array' also known as?", "A. Linked List", "B. Hash Map or Dictionary", "C. Stack", "D. Queue", "B"
"Arrays", "Which of the following scenarios would prefer a linked list over an array?", "A. Frequent random access to elements.", "B. Known, fixed size data storage.", "C. Frequent insertions/deletions at arbitrary positions.", "D. Iterating through all elements sequentially.", "C"
"Arrays", "What is 'array bounds checking'?", "A. Checking if the array is empty.", "B. Verifying that array accesses are within valid indices.", "C. Sorting the array elements.", "D. Calculating the size of the array.", "B"
"Arrays", "When might a multi-dimensional array be preferred over a single-dimensional array?", "A. When memory is limited.", "B. When representing tabular data or matrices.", "C. When the number of elements is small.", "D. When elements need to be accessed randomly.", "B"
"Arrays", "What does it mean if an array is 'passed by value' (hypothetically, if it were possible for entire arrays in C/C++)?", "A. The function receives a pointer to the original array.", "B. The function receives a copy of the entire array.", "C. The function can modify the original array.", "D. The array's size cannot be changed.", "B"
"Arrays", "What is a 'circular array' or 'ring buffer' primarily used for?", "A. Storing elements in a random order.", "B. Implementing queues efficiently by reusing memory.", "C. Representing hierarchical data.", "D. Performing mathematical calculations.", "B"
"Arrays", "What is the purpose of 'array initializers' (e.g., `int arr[] = {1, 2, 3};`)?", "A. To specify the maximum size of the array.", "B. To assign initial values to array elements at declaration.", "C. To make the array dynamic.", "D. To declare an empty array.", "B"
"Arrays", "Which of the following is an example of an 'in-place' array algorithm?", "A. Creating a new sorted array from an unsorted one.", "B. Reversing an array without using extra space (beyond a few variables).", "C. Merging two arrays into a third array.", "D. Copying an array to another array.", "B"
"Sorting", "Which of the following sorting algorithms has the best average-case time complexity?", "A. Bubble Sort", "B. Insertion Sort", "C. QuickSort", "D. Selection Sort", "C"
"Sorting", "What is the time complexity of Bubble Sort in the worst case?", "A. O(n)", "B. O(n log n)", "C. O(n^2)", "D. O(log n)", "C"
"Sorting", "Which sorting algorithm repeatedly steps through the list, compares adjacent elements and swaps them if they are in the wrong order?", "A. Merge Sort", "B. QuickSort", "C. Bubble Sort", "D. Heap Sort", "C"
"Sorting", "What is the space complexity of Merge Sort?", "A. O(1)", "B. O(log n)", "C. O(n)", "D. O(n^2)", "C"
"Sorting", "Which sorting algorithm is a stable sort?", "A. QuickSort", "B. Heap Sort", "C. Merge Sort", "D. Selection Sort", "C"
"Sorting", "In which sorting algorithm, elements are picked one by one and placed in their correct position in the sorted part of the array?", "A. Selection Sort", "B. Insertion Sort", "C. Bubble Sort", "D. QuickSort", "B"
"Sorting", "What is the time complexity of QuickSort in the worst case?", "A. O(n log n)", "B. O(n^2)", "C. O(n)", "D. O(log n)", "B"
"Sorting", "Which of the following sorting algorithms is an in-place algorithm?", "A. Merge Sort", "B. Heap Sort", "C. Radix Sort", "D. Counting Sort", "B"
"Sorting", "Which sorting algorithm works by dividing the unsorted list into n sublists, each containing one element, and then repeatedly merging sublists to produce new sorted sublists until there is only one sublist remaining?", "A. QuickSort", "B. Insertion Sort", "C. Merge Sort", "D. Selection Sort", "C"
"Sorting", "What is the best-case time complexity of Insertion Sort?", "A. O(n log n)", "B. O(n)", "C. O(n^2)", "D. O(1)", "B"
"Sorting", "Which of the following sorting algorithms is NOT a comparison sort?", "A. Merge Sort", "B. Heap Sort", "C. Radix Sort", "D. QuickSort", "C"
"Sorting", "What is the average-case time complexity of Heap Sort?", "A. O(n)", "B. O(n log n)", "C. O(n^2)", "D. O(log n)", "B"
"Sorting", "Which sorting algorithm finds the minimum element from the unsorted part and puts it at the beginning?", "A. Bubble Sort", "B. Insertion Sort", "C. Selection Sort", "D. QuickSort", "C"
"Sorting", "What is the time complexity of Counting Sort?", "A. O(n + k) where k is the range of input.", "B. O(n log n)", "C. O(n^2)", "D. O(n)", "A"
"Sorting", "Which of the following is typically the fastest sorting algorithm for random data?", "A. Merge Sort", "B. Heap Sort", "C. QuickSort", "D. Bubble Sort", "C"
"Sorting", "Which sorting algorithm builds a max-heap or min-heap and repeatedly extracts the maximum/minimum element?", "A. QuickSort", "B. Merge Sort", "C. Heap Sort", "D. Shell Sort", "C"
"Sorting", "What is the worst-case time complexity of Selection Sort?", "A. O(n)", "B. O(n log n)", "C. O(n^2)", "D. O(log n)", "C"
"Sorting", "Which sorting algorithm is best suited for linked lists?", "A. QuickSort", "B. Heap Sort", "C. Merge Sort", "D. Bubble Sort", "C"
"Sorting", "What is the time complexity of Shell Sort in the worst case?", "A. O(n log n)", "B. O(n^2)", "C. Varies, often better than O(n^2) but worse than O(n log n).", "D. O(n)", "C"
"Sorting", "Which sorting algorithm partitions the array into two sub-arrays according to a pivot element?", "A. Merge Sort", "B. Heap Sort", "C. QuickSort", "D. Insertion Sort", "C"
"Sorting", "What is a 'stable' sorting algorithm?", "A. An algorithm that always finishes in the same time.", "B. An algorithm that does not change the relative order of equal elements.", "C. An algorithm that uses constant extra space.", "D. An algorithm that works only on sorted data.", "B"
"Sorting", "Which sorting algorithm has a worst-case space complexity of O(log n) due to recursion stack?", "A. Merge Sort", "B. QuickSort", "C. Heap Sort", "D. Insertion Sort", "B"
"Sorting", "Which of the following is an example of an external sorting algorithm?", "A. Bubble Sort", "B. Insertion Sort", "C. Merge Sort (often used for external sorting)", "D. Selection Sort", "C"
"Sorting", "What is the main idea behind Radix Sort?", "A. Comparing elements directly.", "B. Distributing elements into buckets based on digits.", "C. Repeatedly swapping adjacent elements.", "D. Finding the minimum element and placing it.", "B"
"Sorting", "Which sorting algorithm is generally considered the slowest for large datasets?", "A. QuickSort", "B. Merge Sort", "C. Bubble Sort", "D. Heap Sort", "C"
"Sorting", "What is the purpose of a 'pivot' in QuickSort?", "A. To be the smallest element in the array.", "B. To be the largest element in the array.", "C. To partition the array into elements smaller and larger than itself.", "D. To act as a placeholder for sorted elements.", "C"
"Sorting", "Which sorting algorithm is adaptive, meaning its performance improves if the input is already partially sorted?", "A. QuickSort", "B. Merge Sort", "C. Insertion Sort", "D. Heap Sort", "C"
"Sorting", "What is the time complexity of Bucket Sort in the average case?", "A. O(n)", "B. O(n log n)", "C. O(n^2)", "D. O(k)", "A"
"Sorting", "Which sorting algorithm would you use if memory space is a critical constraint, and you need an in-place sort?", "A. Merge Sort", "B. QuickSort", "C. Radix Sort", "D. Counting Sort", "B"
"Sorting", "What is the primary disadvantage of Counting Sort?", "A. It has a high time complexity.", "B. It is not a stable sort.", "C. It requires extra space proportional to the range of input values (k).", "D. It cannot sort negative numbers.", "C"
"Sorting", "Which sorting algorithm's performance degrades significantly when dealing with nearly sorted or reverse-sorted data, leading to O(n^2) time complexity?", "A. Merge Sort", "B. Heap Sort", "C. QuickSort", "D. Insertion Sort", "C"
"Sorting", "What is the 'gap' sequence in Shell Sort?", "A. The number of elements to skip during comparisons.", "B. The size of the sub-arrays to be sorted.", "C. The initial starting point for sorting.", "D. The number of iterations the algorithm performs.", "A"
"Sorting", "Which sorting algorithm is often used as a sub-routine in more complex algorithms like external sorting?", "A. Bubble Sort", "B. QuickSort", "C. Merge Sort", "D. Insertion Sort", "C"
"Sorting", "If you have a very small array (e.g., less than 20 elements), which sorting algorithm might be efficient due to its low constant factors?", "A. QuickSort", "B. Merge Sort", "C. Insertion Sort", "D. Heap Sort", "C"
"Sorting", "Which of the following correctly describes the process of Selection Sort?", "A. Repeatedly swaps adjacent elements if they are in the wrong order.", "B. Divides the array and merges sorted halves.", "C. Finds the minimum element and places it at the correct position in each pass.", "D. Builds a heap and extracts elements.", "C"
"Sorting", "When is Radix Sort most efficient?", "A. When the range of numbers is very large.", "B. When the numbers have many digits.", "C. When the numbers have a small range and fixed number of digits.", "D. When the input array is already sorted.", "C"
"Sorting", "Which of these is a divide and conquer algorithm?", "A. Bubble Sort", "B. Insertion Sort", "C. QuickSort", "D. Selection Sort", "C"
"Sorting", "What is the concept of 'inversion' in the context of sorting?", "A. An element that is out of place.", "B. A pair of elements that are in the wrong order relative to each other.", "C. The process of reversing an array.", "D. The number of swaps performed.", "B"
"Sorting", "Which sorting algorithm is generally considered to be the most robust (good performance across various data distributions)?", "A. QuickSort", "B. Merge Sort", "C. Bubble Sort", "D. Selection Sort", "B"
"Sorting", "What is the key idea behind the efficiency of Merge Sort compared to QuickSort in worst-case scenarios?", "A. It always picks the best pivot.", "B. Its partitioning is always balanced.", "C. It uses less memory.", "D. It is an in-place sort.", "B"
"Sorting", "If you need a sorting algorithm that guarantees O(n log n) worst-case time complexity, which would you choose?", "A. QuickSort", "B. Bubble Sort", "C. Heap Sort", "D. Insertion Sort", "C"
"Sorting", "Which sorting algorithm is a comparison sort that uses a tree-based data structure (heap)?", "A. QuickSort", "B. Merge Sort", "C. Heap Sort", "D. Radix Sort", "C"
"Sorting", "What is the space complexity for QuickSort in the average case?", "A. O(1)", "B. O(log n) due to recursion stack.", "C. O(n)", "D. O(n log n)", "B"
"Sorting", "Which type of sorting algorithm is Counting Sort?", "A. Comparison Sort", "B. Non-comparison Sort", "C. In-place Sort", "D. Recursive Sort", "B"
"Sorting", "What happens during the 'merge' step of Merge Sort?", "A. Elements are swapped until sorted.", "B. Sub-arrays are combined into a single sorted array.", "C. Elements are partitioned around a pivot.", "D. A heap is built from the elements.", "B"
"Sorting", "Which sorting algorithm is a good choice for nearly sorted arrays and small arrays?", "A. QuickSort", "B. Heap Sort", "C. Insertion Sort", "D. Merge Sort", "C"
"Sorting", "What is the main drawback of Bucket Sort if the input data is not uniformly distributed?", "A. It becomes O(n log n).", "B. It uses too much memory.", "C. Its performance can degrade to O(n^2).", "D. It cannot sort integers.", "C"
"Sorting", "When should you prefer Insertion Sort over Bubble Sort?", "A. For large datasets.", "B. When the dataset is completely random.", "C. For smaller datasets or nearly sorted arrays.", "D. When space complexity is critical.", "C"
"Sorting", "Which of the following is true about all comparison-based sorting algorithms?", "A. Their best time complexity is O(n).", "B. Their lower bound for time complexity is O(n log n).", "C. They always require O(n) extra space.", "D. They are always stable.", "B"
"Sorting", "What is the principle behind 'selection' in Selection Sort?", "A. Selecting a pivot element.", "B. Selecting the minimum (or maximum) element and placing it.", "C. Selecting adjacent elements for comparison.", "D. Selecting a random element for sorting.", "B"
"Searching", "What is the time complexity of a linear search in the worst case?", "A. O(1)", "B. O(log n)", "C. O(n)", "D. O(n^2)", "C"
"Searching", "Which of the following searching algorithms requires the array to be sorted?", "A. Linear Search", "B. Jump Search", "C. Sublist Search", "D. Depth-First Search", "B"
"Searching", "What is the time complexity of a binary search in the worst case?", "A. O(1)", "B. O(log n)", "C. O(n)", "D. O(n log n)", "B"
"Searching", "In a binary search, what does the algorithm do if the middle element is less than the target value?", "A. Searches the left half.", "B. Searches the right half.", "C. Ends the search.", "D. Reshuffles the array.", "B"
"Searching", "What is the space complexity of a linear search?", "A. O(n)", "B. O(log n)", "C. O(1)", "D. O(n^2)", "C"
"Searching", "Which searching algorithm starts checking from one end and continues until the desired element is found or the list ends?", "A. Binary Search", "B. Jump Search", "C. Linear Search", "D. Interpolation Search", "C"
"Searching", "What is the best-case time complexity of a linear search?", "A. O(n)", "B. O(log n)", "C. O(1)", "D. O(n^2)", "C"
"Searching", "When is Interpolation Search more efficient than Binary Search?", "A. When the elements are randomly distributed.", "B. When the elements are uniformly distributed.", "C. When the array is unsorted.", "D. When searching for the first element.", "B"
"Searching", "Which searching algorithm approximates the position of the target value by using linear interpolation?", "A. Binary Search", "B. Linear Search", "C. Jump Search", "D. Interpolation Search", "D"
"Searching", "What is the approximate 'jump' size typically chosen for Jump Search?", "A. log n", "B. n/2", "C. sqrt(n)", "D. n", "C"
"Searching", "Which searching algorithm involves comparing the target value with the middle element of the sorted list, then halving the search range?", "A. Linear Search", "B. Binary Search", "C. Jump Search", "D. Exponential Search", "B"
"Searching", "What is the time complexity of Jump Search?", "A. O(n)", "B. O(log n)", "C. O(sqrt(n))", "D. O(n log n)", "C"
"Searching", "For which data structure is a linear search most suitable?", "A. Sorted Array", "B. Unsorted Array", "C. Binary Search Tree", "D. Hash Table", "B"
"Searching", "If an element is not present in a sorted array, what is the value returned by a typical binary search implementation?", "A. 0", "B. -1 (or an indicator of not found)", "C. The last element checked", "D. The array size", "B"
"Searching", "Which searching algorithm is a technique for finding an element in an infinite or unbounded sorted array?", "A. Binary Search", "B. Jump Search", "C. Interpolation Search", "D. Exponential Search", "D"
"Searching", "What is the time complexity of Exponential Search?", "A. O(log n)", "B. O(n)", "C. O(sqrt(n))", "D. O(n log n)", "A"
"Searching", "Which of the following is true about Binary Search?", "A. It can be used on unsorted arrays.", "B. It is always faster than Linear Search.", "C. It works by repeatedly dividing the search interval in half.", "D. It has O(1) space complexity.", "C"
"Searching", "What is the main advantage of Jump Search over Linear Search for large sorted arrays?", "A. Simplicity", "B. Fewer comparisons on average", "C. Less memory usage", "D. Faster for small arrays", "B"
"Searching", "Which search algorithm is typically used to find an element in a binary search tree (BST)?", "A. Linear Search", "B. Binary Search (conceptually similar)", "C. Breadth-First Search", "D. Hash Search", "B"
"Searching", "What is the space complexity of Interpolation Search?", "A. O(n)", "B. O(log n)", "C. O(1)", "D. O(n^2)", "C"
"Searching", "If an array has duplicate elements, which search algorithm would typically find the first occurrence of a target element efficiently?", "A. Binary Search (standard implementation may not)", "B. Linear Search", "C. Jump Search", "D. Interpolation Search", "B"
"Searching", "What is the primary condition for using Binary Search effectively?", "A. Elements must be unique.", "B. Elements must be strings.", "C. The data structure must be sorted.", "D. The data structure must be a linked list.", "C"
"Searching", "Which of the following search techniques is suitable for searching in a hash table?", "A. Linear Search", "B. Binary Search", "C. Hash Search (Direct Addressing/Chaining/Open Addressing)", "D. Interpolation Search", "C"
"Searching", "What is the average time complexity of a successful search in a well-designed hash table?", "A. O(n)", "B. O(log n)", "C. O(1)", "D. O(n log n)", "C"
"Searching", "What is the worst-case time complexity of searching in a hash table with poor hash function and many collisions?", "A. O(1)", "B. O(log n)", "C. O(n)", "D. O(n^2)", "C"
"Searching", "Which of the following is NOT a common method for handling collisions in hash tables for searching?", "A. Chaining", "B. Open Addressing (Linear Probing, Quadratic Probing)", "C. Rehashing", "D. Binary Search", "D"
"Searching", "What is the primary advantage of Binary Search over Linear Search for very large sorted datasets?", "A. Simpler to implement.", "B. Much faster.", "C. Uses less memory.", "D. Works on unsorted data.", "B"
"Searching", "When would a linear search be preferred over a binary search?", "A. When the array is very large.", "B. When the array is unsorted.", "C. When quick access to any element is needed.", "D. When elements are unique.", "B"
"Searching", "In Exponential Search, after finding the range where the element might exist, what search method is typically applied?", "A. Linear Search", "B. Jump Search", "C. Binary Search", "D. Interpolation Search", "C"
"Searching", "What is the purpose of a 'guard' element in some linear search implementations?", "A. To mark the beginning of the array.", "B. To prevent array out-of-bounds access by placing the target at the end.", "C. To store the search result.", "D. To indicate an empty array.", "B"
"Searching", "Which search technique is useful when the target value is likely to be near the beginning of a sorted array?", "A. Binary Search", "B. Interpolation Search", "C. Linear Search (sometimes, or specialized searches)", "D. Jump Search", "C"
"Searching", "Consider an array `[2, 5, 8, 12, 16, 23, 38, 56, 72, 91]`. If you are searching for 23 using Binary Search, how many comparisons (approx.) would be made?", "A. 1", "B. 2", "C. 3", "D. 4", "D"
"Searching", "What is the worst-case scenario for Interpolation Search?", "A. Uniformly distributed data.", "B. Arithmetic progression data.", "C. Exponentially distributed data.", "D. Random data.", "C"
"Searching", "Which search algorithm is derived from the idea of block search?", "A. Binary Search", "B. Interpolation Search", "C. Jump Search", "D. Exponential Search", "C"
"Searching", "In the context of searching, what does 'probe' refer to?", "A. The size of the array.", "B. The number of elements found.", "C. An attempt to access a memory location (often in hash tables).", "D. The process of sorting.", "C"
"Searching", "What is 'self-organizing search'?", "A. A search that sorts the data before searching.", "B. A search that modifies the data structure to improve future search performance.", "C. A search that organizes itself into parallel threads.", "D. A search that requires no explicit algorithm.", "B"
"Searching", "Which of the following is true about searching in a Binary Search Tree (BST)?", "A. It has O(1) worst-case time complexity.", "B. It always takes O(log n) time.", "C. Its average time complexity is O(log n), worst-case O(n).", "D. It only works for integers.", "C"
"Searching", "What is the purpose of 'sentinel search'?", "A. To search for a specific sentinel value.", "B. To optimize linear search by removing the explicit end-of-array check in the loop.", "C. To search in a sorted array.", "D. To use multiple search agents simultaneously.", "B"
"Searching", "Which search method is best for very large datasets stored on disk (external storage)?", "A. Linear Search", "B. Binary Search", "C. B-tree search (or similar disk-optimized structures)", "D. Hash table search", "C"
"Searching", "What is a 'fuzzy search'?", "A. A search that finds an exact match.", "B. A search that finds results that are approximately similar to the search query.", "C. A search that works on encrypted data.", "D. A search that only works with images.", "B"
"Searching", "When would you prefer a hash table for searching over a sorted array with binary search?", "A. When memory is a severe constraint.", "B. When frequent insertions and deletions are needed, alongside fast average-case searches.", "C. When the data must always remain sorted.", "D. When the range of keys is very small and continuous.", "B"
"Searching", "What is the fundamental difference between sequential search and interval search algorithms?", "A. Sequential searches require sorted data, interval searches do not.", "B. Sequential searches check elements one by one, interval searches narrow down the search space.", "C. Interval searches are always faster.", "D. Sequential searches are only for strings.", "B"
"Searching", "Which search algorithm can be implemented efficiently both iteratively and recursively?", "A. Linear Search", "B. Binary Search", "C. Hash Search", "D. Both A and B", "B"
"Searching", "What is the disadvantage of using Linear Probing for collision resolution in hash tables during searching?", "A. It's too slow for insertions.", "B. It leads to primary clustering.", "C. It uses too much memory.", "D. It only works for integer keys.", "B"
"Searching", "Which searching technique is used to find the `k`-th smallest element in an unsorted array efficiently?", "A. Linear Search", "B. Binary Search", "C. Selection Algorithm (e.g., Quickselect)", "D. Interpolation Search", "C"
"Searching", "What is the time complexity of the Selection Algorithm (Quickselect) in the average case?", "A. O(n)", "B. O(n log n)", "C. O(log n)", "D. O(n^2)", "A"
"Searching", "What is a 'search space' in algorithm terms?", "A. The memory used by the algorithm.", "B. The set of all possible solutions or elements that could contain the target.", "C. The time taken to perform the search.", "D. The number of elements in the array.", "B"
"Searching", "Which of the following is true regarding Uniform Binary Search?", "A. It is faster than standard binary search.", "B. It avoids repeated division operations by pre-calculating jump sizes.", "C. It works on unsorted arrays.", "D. It is a type of hash search.", "B"
"Searching", "When considering the number of comparisons, which search algorithm is generally superior for very large, uniformly distributed, sorted datasets?", "A. Linear Search", "B. Binary Search", "C. Interpolation Search", "D. Jump Search", "C"
"Searching", "What is the typical method for searching in a Breadth-First Search (BFS) or Depth-First Search (DFS) algorithm?", "A. Direct element lookup.", "B. Traversal through a graph/tree structure.", "C. Hash table lookup.", "D. Binary search on an adjacency list.", "B"
"Hashing", "What is the primary purpose of a hash function?", "A. To sort data.", "B. To encrypt data.", "C. To map data of arbitrary size to fixed-size values (hash codes).", "D. To compress data.", "C"
"Hashing", "What is a 'hash collision'?", "A. When two different keys produce the same hash value.", "B. When a key cannot be hashed.", "C. When the hash table is full.", "D. When a hash function produces a negative value.", "A"
"Hashing", "Which of the following is a common method for resolving hash collisions?", "A. Sorting", "B. Linear Search", "C. Chaining", "D. Binary Search", "C"
"Hashing", "In 'chaining' for collision resolution, what data structure is typically used at each index of the hash table?", "A. Array", "B. Linked List", "C. Stack", "D. Queue", "B"
"Hashing", "What is 'open addressing'?", "A. A collision resolution technique that stores all keys in one large array.", "B. A collision resolution technique that finds an alternative empty slot in the hash table.", "C. A hashing technique for public data.", "D. A method to make hash tables dynamic.", "B"
"Hashing", "Which of the following is a type of 'open addressing'?", "A. Separate Chaining", "B. Quadratic Probing", "C. Coalesced Hashing", "D. Perfect Hashing", "B"
"Hashing", "What is the primary advantage of a hash table over a balanced binary search tree for dictionary operations (insert, delete, search)?", "A. Guarantees O(log n) worst-case time complexity.", "B. Faster average-case time complexity (O(1)).", "C. Less memory consumption.", "D. Data is always stored in sorted order.", "B"
"Hashing", "What is the 'load factor' of a hash table?", "A. The maximum number of elements it can hold.", "B. The ratio of the number of elements to the table size.", "C. The time taken to perform an operation.", "D. The number of collisions encountered.", "B"
"Hashing", "When should a hash table be 'rehashed'?", "A. When it's empty.", "B. When the load factor exceeds a certain threshold.", "C. After every insertion.", "D. When searching for an element.", "B"
"Hashing", "What is the expected average time complexity for searching in a hash table using good hash function and proper collision resolution?", "A. O(n)", "B. O(log n)", "C. O(1)", "D. O(n log n)", "C"
"Hashing", "Which of the following is NOT a desirable property of a good hash function?", "A. Deterministic (produces same hash for same input).", "B. Uniform distribution of hash values.", "C. Computationally expensive.", "D. Minimizes collisions.", "C"
"Hashing", "What is 'primary clustering' in open addressing?", "A. When all keys hash to the same initial index.", "B. When a collision causes subsequent insertions to fill consecutive slots.", "C. When separate chains become very long.", "D. When the hash table is full.", "B"
"Hashing", "Which open addressing technique helps to alleviate primary clustering?", "A. Linear Probing", "B. Quadratic Probing", "C. Double Hashing", "D. Both B and C", "D"
"Hashing", "What is 'double hashing'?", "A. Using two hash tables simultaneously.", "B. Using two hash functions: one for initial hash and another for step size.", "C. Hashing the hash value twice.", "D. A technique for secure password storage.", "B"
